index; collection; s; q; csa; doc; bv; grid; Gq
NNQUANTILELG; ENWIKIBIG; 4; 1; 14473843680;2423832125;1408393678;10893083046;13317865189
NNQUANTILELG; ENWIKIBIG; 4; 2; 14473843680;2423832125;1408393678;10893083046;12359688944
NNQUANTILELG; ENWIKIBIG; 4; 4; 14473843680;2423832125;1408393678;10893083046;10178397098
NNQUANTILELG; ENWIKIBIG; 4; 8; 14473843680;2423832125;1408393678;10893083046;6231059934
NNQUANTILELG; ENWIKIBIG; 4; 16; 14473843680;1763412324;1082398086;5851381309;3333791043
NNQUANTILELG; ENWIKIBIG; 4; 32; 14473843680;1152667552;778145814;3025783988;1707045195
NNQUANTILELG; ENWIKIBIG; 4; 64; 14473843680;702869066;563794078;1569447795;871122622
NNQUANTILELG; ENWIKIBIG; 4; 128; 14473843680;409185559;432564598;826951074;449681364
NNQUANTILELG; ENWIKIBIG; 4; 256; 14473843680;226600127;358142558;425394769;226149716
NNQUANTILELG; ENWIKISML; 4; 1; 96943302;19641095;12979798;163655024;92872624
NNQUANTILELG; ENWIKISML; 4; 2; 96943302;19641095;15995574;145435056;82716395
NNQUANTILELG; ENWIKISML; 4; 4; 96943302;19193117;17262246;100872719;57701792
NNQUANTILELG; ENWIKISML; 4; 8; 96943302;16376832;13913150;55953950;31960365
NNQUANTILELG; ENWIKISML; 4; 16; 96943302;11165044;9574958;30176158;17102373
NNQUANTILELG; ENWIKISML; 4; 32; 96943302;6755455;6319150;16180261;9016718
NNQUANTILELG; ENWIKISML; 4; 64; 96943302;3831886;4321198;8583628;4661758
NNQUANTILELG; ENWIKISML; 4; 128; 96943302;2098530;3210102;4508523;2370960
NNQUANTILELG; ENWIKISML; 4; 256; 96943302;1120988;2624142;2336314;1185437
NNQUANTILELG; SOURCES; 4; 1; 337477959;65725779;77170294;526951154;285229364
NNQUANTILELG; SOURCES; 4; 2; 337477959;65725779;81780838;477635585;258311203
NNQUANTILELG; SOURCES; 4; 4; 337477959;62474545;71693270;315336993;174024115
NNQUANTILELG; SOURCES; 4; 8; 337477959;53576059;55251238;192070720;106237086
NNQUANTILELG; SOURCES; 4; 16; 337477959;38326774;37117094;112536239;61592509
NNQUANTILELG; SOURCES; 4; 32; 337477959;24465737;23892902;63679639;34020928
NNQUANTILELG; SOURCES; 4; 64; 337477959;14634446;16088726;35427566;18260098
NNQUANTILELG; SOURCES; 4; 128; 337477959;8452631;11892862;19718869;9718117
NNQUANTILELG; SOURCES; 4; 256; 337477959;4779663;9712942;10990812;5162706
NNQUANTILELG; REVISIONS; 4; 1; 500559628;15187048;28052406;1052422979;627773093
NNQUANTILELG; REVISIONS; 4; 2; 500559628;15187048;36660494;1023979187;610687028
NNQUANTILELG; REVISIONS; 4; 4; 500559628;14789543;57099214;855408746;509274318
NNQUANTILELG; REVISIONS; 4; 8; 500559628;12520794;65105766;575889922;340767224
NNQUANTILELG; REVISIONS; 4; 16; 500559628;9272013;56255574;335955425;196545335
NNQUANTILELG; REVISIONS; 4; 32; 500559628;6355019;42414670;181172472;104218798
NNQUANTILELG; REVISIONS; 4; 64; 500559628;4325381;30779286;95069879;53227332
NNQUANTILELG; REVISIONS; 4; 128; 500559628;2999299;23456982;51340694;27352897
NNQUANTILELG; REVISIONS; 4; 256; 500559628;2114140;19209982;29171837;14508803
