index; collection; s; q; avg; media; max; sigma; indexsize; inputsize
IDXNNQUANTILE; ENWIKISML; 4; 8;  80.61304;  84;  1110;  23.24215;   183187234;  68214736
IDXNNQUANTILE; ENWIKISML; 4; 16;  94.73556;  95;  968;  33.21042;   147859462;  68214736
IDXNNQUANTILE; ENWIKISML; 4; 32;  104.17594;  92;  904;  63.39109;   126198168;  68214736
IDXNNQUANTILE; ENWIKISML; 4; 64;  129.04864;  87;  1030;  127.63970;   113680014;  68214736
IDXNNQUANTILE; ENWIKISML; 4; 128;  211.51850;  89;  2198;  269.84238;   106760457;  68214736
IDXNN; ENWIKISML; 4; 1;  61.12338;  60;  1152;  16.78660;   242227722;  68214736
IDXNNLG; ENWIKISML; 4; 1;  87.42796;  89;  1220;  21.35862;   205810624;  68214736
IDXNNQUANTILE; ENWIKISML; 8; 8;  99.13550;  100;  976;  29.46625;   145712832;  68214736
IDXNNQUANTILE; ENWIKISML; 8; 16;  110.30704;  102;  821;  57.75870;   110385060;  68214736
IDXNNQUANTILE; ENWIKISML; 8; 32;  149.52372;  108;  1866;  142.82899;   88723766;  68214736
IDXNNQUANTILE; ENWIKISML; 8; 64;  260.37810;  121;  3338;  352.52612;   76205612;  68214736
IDXNNQUANTILE; ENWIKISML; 8; 128;  424.94594;  116;  8765;  628.71590;   69286055;  68214736
IDXNN; ENWIKISML; 8; 1;  54.12908;  53;  204;  14.76442;   204753320;  68214736
IDXNNLG; ENWIKISML; 8; 1;  99.19018;  100;  2485;  25.86553;   168336222;  68214736
IDXNNQUANTILE; ENWIKISML; 16; 8;  126.66988;  123;  3038;  50.12512;   127042207;  68214736
IDXNNQUANTILE; ENWIKISML; 16; 16;  152.88046;  127;  1977;  112.99899;   91714435;  68214736
IDXNNQUANTILE; ENWIKISML; 16; 32;  214.79342;  128;  2596;  266.86335;   70053141;  68214736
IDXNNQUANTILE; ENWIKISML; 16; 64;  419.06892;  140;  5136;  662.76340;   57534987;  68214736
IDXNNQUANTILE; ENWIKISML; 16; 128;  881.46090;  150;  16373;  1455.04635;   50615430;  68214736
IDXNN; ENWIKISML; 16; 1;  52.75562;  49;  668;  18.41297;   186082695;  68214736
IDXNNLG; ENWIKISML; 16; 1;  119.48326;  120;  942;  25.63332;   149665597;  68214736
IDXNNQUANTILE; ENWIKISML; 32; 8;  215.96412;  193;  12239;  136.76446;   117740319;  68214736
IDXNNQUANTILE; ENWIKISML; 32; 16;  296.91828;  205;  15665;  341.74547;   82412547;  68214736
IDXNNQUANTILE; ENWIKISML; 32; 32;  605.42458;  277;  9030;  978.72894;   60751253;  68214736
