index; collection; s; q; csa; doc; bv; grid; inputsize
QUANTILE; ENWIKIBIG; 16; 64; 5467827501;2395587225;563794078;1569447795; 8949134992
QUANTILELG; ENWIKIBIG; 16; 64; 5467827501;702869066;563794078;1569447795; 8949134992
NN; ENWIKIBIG; 16; 64; 5467827501;12014008089;499315331;10477110601; 8949134992
NNLG; ENWIKIBIG; 16; 64; 5467827501;2733374746;499315331;10459312097; 8949134992
QUANTILE; ENWIKISML; 16; 64; 40798275;7575369;4321198;8583628; 68214736
QUANTILELG; ENWIKISML; 16; 64; 40798275;3831886;4321198;8583628; 68214736
NN; ENWIKISML; 16; 64; 40798275;55925113;7127227;82232080; 68214736
NNLG; ENWIKISML; 16; 64; 40798275;19640647;7127227;82099448; 68214736
QUANTILE; SOURCES; 16; 64; 135840899;34237697;16088726;35427566; 244587464
QUANTILELG; SOURCES; 16; 64; 135840899;14634446;16088726;35427566; 244587464
NN; SOURCES; 16; 64; 135840899;273253137;39307723;353364430; 244587464
NNLG; SOURCES; 16; 64; 135840899;65723547;39307723;353022318; 244587464
QUANTILE; REVISIONS; 16; 64; 141509204;99801257;30779286;95069879; 419437304
QUANTILELG; REVISIONS; 16; 64; 141509204;4325381;30779286;95069879; 419437304
NN; REVISIONS; 16; 64; 141509204;403995849;16594835;500635558; 419437304
NNLG; REVISIONS; 16; 64; 141509204;15186368;16594835;500977606; 419437304
